marker_symbol,mgi_accession_id
Rnf44,MGI:2145310
Lrrc14,MGI:2445060
Kdm5b,MGI:1922855
Rab10,MGI:105066
Cln3,MGI:107537
Sirpb1a,MGI:2444824
Ywhae,MGI:894689
Hps4,MGI:2177742
4933434E20Rik,MGI:1914027
Dpep2,MGI:2442042
Drd1,MGI:99578
Cited1,MGI:108023
Meis3,MGI:108519
Tmx1,MGI:1919986
Camta1,MGI:2140230
Bbs2,MGI:2135267
Krt16,MGI:96690
4930435E12Rik,MGI:1921913
Sema4c,MGI:109252
Dcxr,MGI:1915130
0610006L08Rik,MGI:1923503
Lvrn,MGI:1921824
Gpr162,MGI:1315214
S100a4,MGI:1330282
Nsg2,MGI:1202070
Thnsl1,MGI:2139347
Zfp58,MGI:99205
Tle2,MGI:104635
Unc50,MGI:1914637
Ostf1,MGI:700012
Crip1,MGI:88501
C1qtnf9,MGI:3045252
Tssk4,MGI:1918349
Lrrc36,MGI:2448585
Sdccag8,MGI:1924066
Slc33a1,MGI:1332247
Fopnl,MGI:1913336
Cdc20b,MGI:3644472
Kcnj1,MGI:1927248
Iqsec2,MGI:3528396
Ubqlnl,MGI:2685336
Anks1,MGI:2446180
Dppa4,MGI:2157525
Ccl4,MGI:98261
Tmem175,MGI:1919642
Cdyl,MGI:1339956
Glyat,MGI:2147502
Stra8,MGI:107917
Il7,MGI:96561
Hcrtr2,MGI:2680765
Gltp,MGI:1929253
Stat2,MGI:103039
Kcne1,MGI:96673
Prdm16,MGI:1917923
Ifnb1,MGI:107657
Ttc21a,MGI:1921302
0610012D04Rik,MGI:1918926
Csf2,MGI:1339752
Nr4a1,MGI:1352454
Oxld1,MGI:1913681
Ruvbl2,MGI:1342299
Fam196b,MGI:3643491
Gsdma2,MGI:1921490
Gpr75,MGI:2441843
Chadl,MGI:3036284
Ltb,MGI:104796
Tomm6,MGI:1913369
Ccdc141,MGI:1919735
Skint7,MGI:3041190
Krt82,MGI:2149248
Jchain,MGI:96493
Gdf9,MGI:95692
Zfp629,MGI:2444524
0610012G03Rik,MGI:1913301
Megf9,MGI:1918264
Syncrip,MGI:1891690
Hoga1,MGI:1914682
Pes1,MGI:1890613
S100a9,MGI:1338947
Sptb,MGI:98387
Rgs9bp,MGI:2384418
Fbxl4,MGI:2140367
Cfap126,MGI:1922722
Kif12,MGI:1098232
Asf1b,MGI:1914179
Spic,MGI:1341168
Pex1,MGI:1918632
Hdc,MGI:96062
Mrpl40,MGI:1332635
0610009E02Rik,MGI:3698435
Chrne,MGI:87894
Tor3a,MGI:1353652
Tasp1,MGI:1923062
Tmem219,MGI:1915992
Ankk1,MGI:3045301
Adamts5,MGI:1346321
Hoxa3,MGI:96175
Akr1b7,MGI:101918
Pmp2,MGI:102667
Psmg1,MGI:1860263
Tie1,MGI:99906
Snx17,MGI:2387801
Fxyd6,MGI:1890226
Utf1,MGI:1276125
Zswim7,MGI:1916997
Fnbp1,MGI:109606
Arf1,MGI:99431
Il1f8,MGI:1916927
Golt1a,MGI:1915588
Clec14a,MGI:1914114
Bsx,MGI:2669849
Vmn2r27,MGI:3761517
Lrrc26,MGI:2385129
Ctsq,MGI:2137385
Surf2,MGI:98444
Neurog2,MGI:109619
Tmed3,MGI:1913361
Ube2k,MGI:1858216
Tgm4,MGI:3027002
Insl3,MGI:108427
Edf1,MGI:1891227
Pla2g4f,MGI:2685493
Rgs16,MGI:108407
Prss23,MGI:1923703
Afp,MGI:87951
Pck1,MGI:97501
Hps3,MGI:2153839
Rtp1,MGI:2685450
Eif3d,MGI:1933181
B230118H07Rik,MGI:1915420
Usp27x,MGI:1859645
Dram1,MGI:1918962
Irak1bp1,MGI:1929475
Ankrd22,MGI:1277101
Usp20,MGI:1921520
Rmst,MGI:1099806
Grid2ip,MGI:2176213
Sectm1b,MGI:1929083
Scgb2b26,MGI:87864
Rap1gap2,MGI:3028623
Spry4,MGI:1345144
Mfap2,MGI:99559
Alb,MGI:87991
Pdha1,MGI:97532
Ube2s,MGI:1925141
Haus5,MGI:1919159
Grin2c,MGI:95822
Jhy,MGI:1918239
Alox8,MGI:1098228
Pidd1,MGI:1889507
Amer2,MGI:1919375
Pak3,MGI:1339656
1600029I14Rik,MGI:1917047
Rnf224,MGI:2685603
Bmp8b,MGI:107335
Llcfc1,MGI:1923856
0610009F21Rik,MGI:1918921
Fam111a,MGI:1915508
Pramel6,MGI:2156390
Fndc1,MGI:1915905
Zmiz1,MGI:3040693
Car2,MGI:88269
Gpat2,MGI:2684962
Fam76a,MGI:2385211
Uqcr11,MGI:1913844
Klhl5,MGI:1919028
Vsx2,MGI:88401
Hnrnpf,MGI:2138741
Gpr88,MGI:1927653
Arhgef9,MGI:2442233
Dpp7,MGI:1933213
Golt1b,MGI:1914214
Tc(HSA21)1TybEmcf,MGI:3814702
Klrc1,MGI:1336161
Stac3,MGI:3606571
Il19,MGI:1890472
Pzp,MGI:87854
Adam8,MGI:107825
Hbegf,MGI:96070
Gm1673,MGI:2686519
Capn10,MGI:1344392
Hepacam2,MGI:2141520
Nfu1,MGI:1913290
Galnt9,MGI:2677965
Crygb,MGI:88522
Crygc,MGI:88523
Slc37a1,MGI:2446181
Cpgi16218,MGI:5681297
Echdc2,MGI:1289238
Mef2c,MGI:99458
Spata19,MGI:1922719
Ddx56,MGI:1277172
Nlrc4,MGI:3036243
Hvcn1,MGI:1921346
Tspan11,MGI:1915748
Fancd2os,MGI:1918229
Crb1,MGI:2136343
D130043K22Rik,MGI:3036268
Mettl25,MGI:3041259
Neto1,MGI:2180216
Adcy5,MGI:99673
Dapk3,MGI:1203520
Zhx2,MGI:2683087
Pllp,MGI:1915051
Ctxn2,MGI:2139444
Cpgi23001,MGI:5688069
Taar1,MGI:2148258
Plxnd1,MGI:2154244
Rtl8c,MGI:1920115
Brd1,MGI:1924161
Cul5,MGI:1922967
Rbm43,MGI:1918934
Sp2,MGI:1926162
Foxl2,MGI:1349428
Tars2,MGI:1919057
Timm9,MGI:1353436
Dpysl2,MGI:1349763
Gfap,MGI:95697
Calcb,MGI:2151254
Lrfn4,MGI:2385612
Tia1,MGI:107914
Gm17750,MGI:5009828
Usp1,MGI:2385198
Cldn18,MGI:1929209
Mdfic,MGI:104611
Gpr45,MGI:2135882
Aox1,MGI:88035
Sirpb1c,MGI:3807521
Nr5a1,MGI:1346833
P2ry1,MGI:105049
Celsr3,MGI:1858236
Ifnar2,MGI:1098243
Cd37,MGI:88330
Rnf152,MGI:2443787
Rgs12,MGI:1918979
Zdhhc7,MGI:2142662
Mog,MGI:97435
Asb3,MGI:1929749
Mocos,MGI:1915841
Phyhipl,MGI:1918161
Prox1,MGI:97772
Igsf21,MGI:2681842
Tpra1,MGI:1345190
